nationality,query,title,words,sentiment,parlength,x,y
English,Walter Scott,Ivanhoe: A Romance,191237,0.12282006331079913,64.37903494176372,10.143311,9.123186
English,Walter Scott,"Waverley; Or, 'Tis Sixty Years Since",209098,0.11578958551409903,74.96624022743426,10.144387,8.527019
English,Walter Scott,Rob Roy — Complete,192065,0.10363868996579466,82.63778234086243,9.777365,8.458398
English,Walter Scott,The Talisman,128614,0.11321134596937626,71.897365532382,10.459093,9.1864395
English,Walter Scott,The Bride of Lammermoor,126244,0.10138228332720187,71.28883903533371,13.092597,7.8514867
English,Walter Scott,The Antiquary — Complete,171813,0.09374628503331939,66.41681834728794,9.752498,8.467713
English,Walter Scott,"Guy Mannering; or, The Astrologer — Complete",177597,0.0994817603949615,74.813934084272,9.76005,8.4284725
English,Walter Scott,Kenilworth,186466,0.12597025931911252,62.23236651285432,10.0100155,8.973549
English,Walter Scott,The Monastery,173594,0.11932080890623775,74.88714467543487,10.015358,8.933429
English,Walter Scott,"The Heart of Mid-Lothian, Complete",235972,0.09343166228256432,76.77460416019869,9.700806,8.48193
English,Walter Scott,"The Tapestried Chamber, and Death of the Laird's Jock",7836,0.11134864463183952,91.16279069767442,17.443478,6.9749126
English,Walter Scott,"Old Mortality, Complete",179630,0.09178143170322274,75.72705410821644,9.819043,8.67552
English,Walter Scott,Quentin Durward,183591,0.11924456424328925,69.48719879518072,10.303239,9.0542345
English,Walter Scott,"The Fair Maid of Perth; Or, St. Valentine's Day",183442,0.10468041378410561,63.19849418206708,10.088961,8.972009
English,Walter Scott,"The Pirate
Andrew Lang Edition",197044,0.1092530549210954,60.17683649289099,10.025092,8.414466
English,Walter Scott,St. Ronan's Well,178720,0.10508788647680152,59.79049466537342,9.710885,8.284108
English,Walter Scott,The Fortunes of Nigel,197370,0.11028766336041214,68.67678145243778,9.901528,8.713623
English,Walter Scott,Redgauntlet: A Tale of the Eighteenth Century,185762,0.09146506358995464,73.29785575048733,9.814151,8.505535
English,Walter Scott,The Abbot,181102,0.11152247487228832,67.34817813765183,10.0537615,8.955632
English,Walter Scott,"Chronicles of the Canongate, 1st Series",86882,0.10353637404600251,101.23963133640552,13.646969,7.9319053
English,Walter Scott,A Legend of Montrose,88788,0.11228095478739811,77.31025641025641,13.413454,7.7329283
English,Walter Scott,The Black Dwarf,57391,0.0800010891191272,62.9651795429815,13.911937,7.6504703
English,Jane Austen,Pride and Prejudice,126960,0.13416084386139304,58.853680035257824,11.238979,6.354964
